number,value,datetime_start,datetime_complete,duration,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
335,0.6824310447433789,2025-01-08 21:48:07.922174,2025-01-08 21:50:13.029675,0 days 00:02:05.107501,balanced,entropy,500,sqrt,32,22,4937,COMPLETE
336,0.686120721149567,2025-01-08 21:48:11.154628,2025-01-08 21:50:18.097357,0 days 00:02:06.942729,balanced,entropy,574,sqrt,25,24,5135,COMPLETE
337,0.6823792264547374,2025-01-08 21:48:14.076773,2025-01-08 21:50:19.870741,0 days 00:02:05.793968,balanced,entropy,494,sqrt,32,23,5036,COMPLETE
338,0.6836739548444601,2025-01-08 21:48:14.842538,2025-01-08 21:50:22.894361,0 days 00:02:08.051823,balanced,entropy,508,sqrt,30,22,5048,COMPLETE
339,0.6827096346397838,2025-01-08 21:48:15.904915,2025-01-08 21:50:29.138994,0 days 00:02:13.234079,balanced,entropy,470,sqrt,32,56,5066,COMPLETE
340,0.6823269094846349,2025-01-08 21:48:27.571249,2025-01-08 21:50:33.778713,0 days 00:02:06.207464,balanced,entropy,475,sqrt,33,56,5124,COMPLETE
341,0.682063572576193,2025-01-08 21:48:29.893228,2025-01-08 21:50:39.390018,0 days 00:02:09.496790,balanced,entropy,478,sqrt,35,55,5051,COMPLETE
342,0.681682564898313,2025-01-08 21:48:52.787777,2025-01-08 21:50:43.427565,0 days 00:01:50.639788,balanced,entropy,501,sqrt,35,56,4935,COMPLETE
343,0.686001198345063,2025-01-08 21:48:53.805599,2025-01-08 21:50:49.404024,0 days 00:01:55.598425,balanced,entropy,505,sqrt,25,56,5039,COMPLETE
344,0.6824083427458808,2025-01-08 21:48:56.610166,2025-01-08 21:50:49.010850,0 days 00:01:52.400684,balanced,entropy,480,sqrt,34,53,5081,COMPLETE
345,0.6871469750484106,2025-01-08 21:48:57.536063,2025-01-08 21:50:57.750683,0 days 00:02:00.214620,balanced,entropy,508,sqrt,21,57,5004,COMPLETE
346,0.6494354578971065,2025-01-08 21:49:05.512389,2025-01-08 21:50:45.938090,0 days 00:01:40.425701,balanced,entropy,507,sqrt,238,57,5083,COMPLETE
347,0.6868954202042751,2025-01-08 21:49:06.247561,2025-01-08 21:50:33.093197,0 days 00:01:26.845636,balanced,entropy,501,sqrt,21,58,1475,COMPLETE
348,0.6876946289185376,2025-01-08 21:49:13.502761,2025-01-08 21:50:34.332956,0 days 00:01:20.830195,balanced,entropy,509,sqrt,21,57,750,COMPLETE
349,0.686523495297558,2025-01-08 21:49:21.038073,2025-01-08 21:51:10.582197,0 days 00:01:49.544124,balanced,entropy,574,sqrt,23,59,4982,COMPLETE
350,0.686697790287556,2025-01-08 21:49:21.436488,2025-01-08 21:51:10.406124,0 days 00:01:48.969636,balanced,entropy,510,sqrt,22,63,5032,COMPLETE
351,0.6863977988951163,2025-01-08 21:49:25.742519,2025-01-08 21:51:13.523273,0 days 00:01:47.780754,balanced,entropy,516,sqrt,23,62,4942,COMPLETE
352,0.6872585064199801,2025-01-08 21:49:31.424064,2025-01-08 21:51:17.164059,0 days 00:01:45.739995,balanced,entropy,577,sqrt,20,58,4978,COMPLETE
353,0.6868437411924146,2025-01-08 21:49:33.718439,2025-01-08 21:51:22.992437,0 days 00:01:49.273998,balanced,entropy,506,sqrt,22,54,5267,COMPLETE
354,0.6864111948791334,2025-01-08 21:49:35.582700,2025-01-08 21:51:24.366032,0 days 00:01:48.783332,balanced,entropy,574,sqrt,22,57,4964,COMPLETE
355,0.6874022356883803,2025-01-08 21:49:39.634632,2025-01-08 21:50:53.695834,0 days 00:01:14.061202,balanced,entropy,507,sqrt,19,55,675,COMPLETE
356,0.6502104351148872,2025-01-08 21:49:42.274687,2025-01-08 21:51:05.227573,0 days 00:01:22.952886,balanced,entropy,295,sqrt,239,59,2930,COMPLETE
357,0.6869931102639514,2025-01-08 21:49:48.793552,2025-01-08 21:51:30.554724,0 days 00:01:41.761172,balanced,entropy,568,sqrt,21,57,4973,COMPLETE
358,0.6878131611120734,2025-01-08 21:49:52.047469,2025-01-08 21:51:33.984407,0 days 00:01:41.936938,balanced,entropy,518,sqrt,20,56,4957,COMPLETE
359,0.6877263231371136,2025-01-08 21:49:57.984404,2025-01-08 21:51:43.393377,0 days 00:01:45.408973,balanced,entropy,517,sqrt,20,57,4912,COMPLETE
360,0.6883825143536351,2025-01-08 21:50:04.204066,2025-01-08 21:51:46.162640,0 days 00:01:41.958574,balanced,entropy,496,sqrt,19,59,4672,COMPLETE
361,0.6884309587665629,2025-01-08 21:50:08.189608,2025-01-08 21:51:15.930747,0 days 00:01:07.741139,balanced,entropy,583,sqrt,18,71,662,COMPLETE
362,0.6512633986515738,2025-01-08 21:50:10.404118,2025-01-08 21:51:28.374119,0 days 00:01:17.970001,balanced,entropy,581,sqrt,233,62,2967,COMPLETE
363,0.6883497334842307,2025-01-08 21:50:13.031684,2025-01-08 21:51:52.668006,0 days 00:01:39.636322,balanced,entropy,516,sqrt,19,55,4618,COMPLETE
364,0.6880169486634319,2025-01-08 21:50:18.099365,2025-01-08 21:51:59.292698,0 days 00:01:41.193333,balanced,entropy,707,sqrt,18,57,5291,COMPLETE
365,0.6522660814158701,2025-01-08 21:50:19.872747,2025-01-08 21:51:47.387529,0 days 00:01:27.514782,balanced,entropy,580,sqrt,221,53,4744,COMPLETE
366,0.648768950209173,2025-01-08 21:50:22.898371,2025-01-08 21:51:48.505260,0 days 00:01:25.606889,balanced,entropy,589,sqrt,242,55,4613,COMPLETE
367,0.6889462883474545,2025-01-08 21:50:29.141002,2025-01-08 21:52:11.693374,0 days 00:01:42.552372,balanced,entropy,594,sqrt,15,55,5305,COMPLETE
368,0.6883602035621612,2025-01-08 21:50:33.094722,2025-01-08 21:52:12.805494,0 days 00:01:39.710772,balanced,entropy,578,sqrt,18,58,5316,COMPLETE
369,0.6884347396032982,2025-01-08 21:50:33.780719,2025-01-08 21:52:10.270690,0 days 00:01:36.489971,balanced,entropy,587,sqrt,18,57,4661,COMPLETE
370,0.6882738905482592,2025-01-08 21:50:34.336968,2025-01-08 21:52:19.321966,0 days 00:01:44.984998,balanced,entropy,574,sqrt,18,54,4661,COMPLETE
371,0.6889684509177569,2025-01-08 21:50:39.392024,2025-01-08 21:52:20.157423,0 days 00:01:40.765399,balanced,entropy,581,sqrt,18,53,4614,COMPLETE
372,0.6514770431729474,2025-01-08 21:50:43.429572,2025-01-08 21:52:12.266088,0 days 00:01:28.836516,balanced,entropy,709,sqrt,227,51,4672,COMPLETE
373,0.6887692474396445,2025-01-08 21:50:45.940097,2025-01-08 21:52:27.575430,0 days 00:01:41.635333,balanced,entropy,587,sqrt,18,47,4621,COMPLETE
374,0.6736168796383538,2025-01-08 21:50:49.012856,2025-01-08 21:52:19.543171,0 days 00:01:30.530315,balanced,entropy,588,sqrt,18,750,4652,COMPLETE
375,0.6885703005173256,2025-01-08 21:50:49.408037,2025-01-08 21:52:37.215171,0 days 00:01:47.807134,balanced,entropy,573,sqrt,17,47,4644,COMPLETE
376,0.6916416129807909,2025-01-08 21:50:53.697842,2025-01-08 21:52:47.107610,0 days 00:01:53.409768,balanced,entropy,574,sqrt,13,45,4626,COMPLETE
377,0.6895138031769497,2025-01-08 21:50:57.752691,2025-01-08 21:52:34.562674,0 days 00:01:36.809983,balanced,entropy,577,sqrt,15,46,2974,COMPLETE
378,0.6887698457397882,2025-01-08 21:51:05.229578,2025-01-08 21:52:49.872639,0 days 00:01:44.643061,balanced,entropy,579,sqrt,16,45,4684,COMPLETE
379,0.6891915737566237,2025-01-08 21:51:10.408129,2025-01-08 21:52:57.649374,0 days 00:01:47.241245,balanced,entropy,576,sqrt,15,44,5348,COMPLETE
380,0.6901268213206136,2025-01-08 21:51:10.584203,2025-01-08 21:52:52.133569,0 days 00:01:41.549366,balanced,entropy,598,sqrt,14,45,4616,COMPLETE
381,0.6895478240545884,2025-01-08 21:51:13.525279,2025-01-08 21:52:56.699918,0 days 00:01:43.174639,balanced,entropy,603,sqrt,16,44,4654,COMPLETE
382,0.6900078272433395,2025-01-08 21:51:15.934499,2025-01-08 21:52:58.754323,0 days 00:01:42.819824,balanced,entropy,606,sqrt,15,42,4632,COMPLETE
383,0.7035274377827828,2025-01-08 21:51:17.166068,2025-01-08 21:53:12.426239,0 days 00:01:55.260171,balanced,entropy,450,sqrt,1,47,4648,COMPLETE
384,0.7021684301552873,2025-01-08 21:51:22.994445,2025-01-08 21:53:20.728087,0 days 00:01:57.733642,balanced,entropy,23,sqrt,1,40,4628,COMPLETE
385,0.6861320732009012,2025-01-08 21:51:24.368038,2025-01-08 21:53:12.631543,0 days 00:01:48.263505,balanced,entropy,13,sqrt,13,39,4605,COMPLETE
386,0.7033122898555889,2025-01-08 21:51:28.376125,2025-01-08 21:53:34.000436,0 days 00:02:05.624311,balanced,entropy,608,sqrt,1,41,4708,COMPLETE
387,0.6922736520652718,2025-01-08 21:51:30.556729,2025-01-08 21:53:28.269163,0 days 00:01:57.712434,balanced,entropy,605,sqrt,12,41,4613,COMPLETE
388,0.692391947962567,2025-01-08 21:51:33.986414,2025-01-08 21:53:36.015639,0 days 00:02:02.029225,balanced,entropy,441,sqrt,12,40,5332,COMPLETE
389,0.6914687361167907,2025-01-08 21:51:43.395382,2025-01-08 21:53:40.132455,0 days 00:01:56.737073,balanced,entropy,600,sqrt,12,40,5336,COMPLETE
390,0.6929464532958209,2025-01-08 21:51:46.164167,2025-01-08 21:53:36.801796,0 days 00:01:50.637629,balanced,entropy,13,sqrt,1,41,4624,COMPLETE
391,0.6363437186099296,2025-01-08 21:51:47.391540,2025-01-08 21:53:21.858267,0 days 00:01:34.466727,balanced,entropy,20,sqrt,320,38,4660,COMPLETE
392,0.7038455567562583,2025-01-08 21:51:48.506836,2025-01-08 21:54:08.819768,0 days 00:02:20.312932,balanced,entropy,614,sqrt,1,42,5329,COMPLETE
393,0.6774105494462875,2025-01-08 21:51:52.670012,2025-01-08 21:53:44.887968,0 days 00:01:52.217956,balanced,entropy,19,sqrt,1,690,5337,COMPLETE
394,0.6765754556510167,2025-01-08 21:51:59.294704,2025-01-08 21:53:47.086989,0 days 00:01:47.792285,balanced,entropy,22,sqrt,2,727,5352,COMPLETE
395,0.6935864579200106,2025-01-08 21:52:10.272697,2025-01-08 21:54:01.497140,0 days 00:01:51.224443,balanced,entropy,444,sqrt,11,37,4668,COMPLETE
396,0.6377613476718356,2025-01-08 21:52:11.695380,2025-01-08 21:53:53.596723,0 days 00:01:41.901343,balanced,entropy,448,sqrt,313,37,5363,COMPLETE
397,0.6911472816634056,2025-01-08 21:52:12.268094,2025-01-08 21:54:10.419167,0 days 00:01:58.151073,balanced,entropy,452,sqrt,2,259,5334,COMPLETE
398,0.7024448388608736,2025-01-08 21:52:12.807502,2025-01-08 21:54:29.600981,0 days 00:02:16.793479,balanced,entropy,20,sqrt,1,37,5364,COMPLETE
399,0.7043683349484576,2025-01-08 21:52:19.323972,2025-01-08 21:54:40.231514,0 days 00:02:20.907542,balanced,entropy,663,sqrt,1,36,5377,COMPLETE
400,0.6917245703227186,2025-01-08 21:52:19.545177,2025-01-08 21:54:16.913521,0 days 00:01:57.368344,balanced,entropy,662,sqrt,2,265,5374,COMPLETE
401,0.6737104504769027,2025-01-08 21:52:20.159428,2025-01-08 21:54:15.931330,0 days 00:01:55.771902,balanced,entropy,443,sqrt,2,851,5346,COMPLETE
402,0.674048507508323,2025-01-08 21:52:27.587316,2025-01-08 21:54:18.917099,0 days 00:01:51.329783,balanced,entropy,23,sqrt,1,849,5415,COMPLETE
403,0.7049915003656455,2025-01-08 21:52:34.564846,2025-01-08 21:54:58.968931,0 days 00:02:24.404085,balanced,entropy,444,sqrt,1,31,5349,COMPLETE
404,0.6871941056763164,2025-01-08 21:52:37.217178,2025-01-08 21:54:40.314509,0 days 00:02:03.097331,balanced,entropy,11,sqrt,1,28,5287,COMPLETE
405,0.7014942744949849,2025-01-08 21:52:47.109614,2025-01-08 21:55:00.011985,0 days 00:02:12.902371,balanced,entropy,447,sqrt,3,29,5333,COMPLETE
406,0.7038567299654025,2025-01-08 21:52:49.874644,2025-01-08 21:55:19.064580,0 days 00:02:29.189936,balanced,entropy,27,sqrt,1,29,5387,COMPLETE
407,0.7051128354090834,2025-01-08 21:52:52.135576,2025-01-08 21:55:19.990423,0 days 00:02:27.854847,balanced,entropy,448,sqrt,1,29,5347,COMPLETE
408,0.6828430360913283,2025-01-08 21:52:56.701924,2025-01-08 21:54:57.316441,0 days 00:02:00.614517,balanced,entropy,10,sqrt,2,26,5379,COMPLETE
409,0.7017406115483603,2025-01-08 21:52:57.651379,2025-01-08 21:55:24.264386,0 days 00:02:26.613007,balanced,entropy,443,sqrt,2,25,5416,COMPLETE
410,0.6778863620785938,2025-01-08 21:52:58.756329,2025-01-08 21:55:04.695975,0 days 00:02:05.939646,balanced,entropy,668,sqrt,1,683,5885,COMPLETE
411,0.7015721724513253,2025-01-08 21:53:12.428244,2025-01-08 21:55:41.889791,0 days 00:02:29.461547,balanced,entropy,26,sqrt,2,29,5875,COMPLETE
412,0.7062072618755041,2025-01-08 21:53:12.633550,2025-01-08 21:55:58.480193,0 days 00:02:45.846643,balanced,entropy,659,sqrt,1,24,5396,COMPLETE
413,0.7009324332238385,2025-01-08 21:53:20.730092,2025-01-08 21:55:57.695939,0 days 00:02:36.965847,balanced,entropy,660,sqrt,3,22,5406,COMPLETE
414,0.6918646069106491,2025-01-08 21:53:21.860271,2025-01-08 21:55:37.604899,0 days 00:02:15.744628,balanced,entropy,439,sqrt,2,260,5384,COMPLETE
415,0.7062662227438837,2025-01-08 21:53:28.271171,2025-01-08 21:56:08.075764,0 days 00:02:39.804593,balanced,entropy,443,sqrt,1,19,5340,COMPLETE
416,0.6925996527810128,2025-01-08 21:53:34.002443,2025-01-08 21:55:45.300764,0 days 00:02:11.298321,balanced,entropy,440,sqrt,1,237,5389,COMPLETE
417,0.7048268034413517,2025-01-08 21:53:36.026318,2025-01-08 21:56:49.632749,0 days 00:03:13.606431,balanced,entropy,654,sqrt,1,22,5886,COMPLETE
418,0.7037859909754435,2025-01-08 21:53:36.803802,2025-01-08 21:56:22.211205,0 days 00:02:45.407403,balanced,entropy,663,sqrt,2,20,5400,COMPLETE
419,0.7053662125243559,2025-01-08 21:53:40.134460,2025-01-08 21:56:40.884145,0 days 00:03:00.749685,balanced,entropy,659,sqrt,1,24,5394,COMPLETE
420,0.7033178906834451,2025-01-08 21:53:44.891719,2025-01-08 21:56:43.190640,0 days 00:02:58.298921,balanced,entropy,665,sqrt,2,19,5830,COMPLETE
421,0.6751350910312337,2025-01-08 21:53:47.088994,2025-01-08 21:56:10.956215,0 days 00:02:23.867221,balanced,entropy,658,sqrt,1,836,5406,COMPLETE
422,0.7026384887613856,2025-01-08 21:53:53.598731,2025-01-08 21:56:46.998946,0 days 00:02:53.400215,balanced,entropy,663,sqrt,2,20,5480,COMPLETE
423,0.7024726393482164,2025-01-08 21:54:01.499147,2025-01-08 21:57:01.647079,0 days 00:03:00.147932,balanced,entropy,638,sqrt,2,23,5265,COMPLETE
424,0.7052915944996362,2025-01-08 21:54:08.823780,2025-01-08 21:57:20.121020,0 days 00:03:11.297240,balanced,entropy,665,sqrt,1,20,5474,COMPLETE
425,0.6948032826864212,2025-01-08 21:54:10.421172,2025-01-08 21:56:59.336774,0 days 00:02:48.915602,balanced,entropy,662,sqrt,10,19,5885,COMPLETE
426,0.6950461385484726,2025-01-08 21:54:15.933336,2025-01-08 21:57:00.405508,0 days 00:02:44.472172,balanced,entropy,661,sqrt,9,16,5484,COMPLETE
427,0.7059551812215245,2025-01-08 21:54:16.915526,2025-01-08 21:57:29.718475,0 days 00:03:12.802949,balanced,entropy,542,sqrt,1,16,5837,COMPLETE
428,0.6944314093843662,2025-01-08 21:54:18.919106,2025-01-08 21:57:27.349586,0 days 00:03:08.430480,balanced,entropy,662,sqrt,10,22,5866,COMPLETE
429,0.6949746031067541,2025-01-08 21:54:29.602986,2025-01-08 21:57:35.460997,0 days 00:03:05.858011,balanced,entropy,661,sqrt,10,19,5952,COMPLETE
430,0.6950468539716946,2025-01-08 21:54:40.233520,2025-01-08 21:57:38.593535,0 days 00:02:58.360015,balanced,entropy,643,sqrt,9,20,5853,COMPLETE
431,0.688557709118561,2025-01-08 21:54:40.318521,2025-01-08 21:57:32.241364,0 days 00:02:51.922843,balanced,entropy,660,sqrt,10,179,5846,COMPLETE
432,0.6891599698859879,2025-01-08 21:54:57.318446,2025-01-08 21:57:36.997934,0 days 00:02:39.679488,balanced,entropy,547,sqrt,9,188,5854,COMPLETE
433,0.6948626744026652,2025-01-08 21:54:58.970938,2025-01-08 21:57:51.422688,0 days 00:02:52.451750,balanced,entropy,657,sqrt,10,20,5771,COMPLETE
434,0.6945651458073755,2025-01-08 21:55:00.014536,2025-01-08 21:57:51.640016,0 days 00:02:51.625480,balanced,entropy,666,sqrt,10,2,5542,COMPLETE
435,0.694860865317775,2025-01-08 21:55:04.697981,2025-01-08 21:58:05.300278,0 days 00:03:00.602297,balanced,entropy,636,sqrt,10,15,5790,COMPLETE
436,0.6950186422150724,2025-01-08 21:55:19.065678,2025-01-08 21:58:09.758906,0 days 00:02:50.693228,balanced,entropy,657,sqrt,11,16,5534,COMPLETE
437,0.6929090757607664,2025-01-08 21:55:19.992430,2025-01-08 21:58:17.980634,0 days 00:02:57.988204,balanced,entropy,435,sqrt,12,18,5830,COMPLETE
438,0.6939228166584043,2025-01-08 21:55:24.266390,2025-01-08 21:58:19.903583,0 days 00:02:55.637193,balanced,entropy,634,sqrt,11,2,5765,COMPLETE
439,0.6869934788133087,2025-01-08 21:55:37.606904,2025-01-08 21:58:18.186206,0 days 00:02:40.579302,balanced,entropy,936,sqrt,11,185,5789,COMPLETE
440,0.6707503562457346,2025-01-08 21:55:41.891797,2025-01-08 21:58:23.599492,0 days 00:02:41.707695,,entropy,426,sqrt,12,18,5497,COMPLETE
441,0.6720560147372573,2025-01-08 21:55:45.302771,2025-01-08 21:58:26.600879,0 days 00:02:41.298108,,entropy,461,log2,11,2,5540,COMPLETE
442,0.6700936511564674,2025-01-08 21:55:57.697945,2025-01-08 21:58:36.661137,0 days 00:02:38.963192,,entropy,548,log2,12,3,5550,COMPLETE
443,0.6883417425544938,2025-01-08 21:55:58.482199,2025-01-08 21:58:33.705397,0 days 00:02:35.223198,balanced,entropy,535,log2,10,181,5565,COMPLETE
444,0.6577646349541407,2025-01-08 21:56:08.077769,2025-01-08 21:58:44.870067,0 days 00:02:36.792298,,entropy,544,log2,11,197,5849,COMPLETE
445,0.6719216742782376,2025-01-08 21:56:10.958220,2025-01-08 21:59:00.603341,0 days 00:02:49.645121,,entropy,464,log2,11,2,5938,COMPLETE
446,0.6659652115849579,2025-01-08 21:56:22.213210,2025-01-08 21:58:58.498404,0 days 00:02:36.285194,,entropy,462,log2,12,74,5540,COMPLETE
447,0.6652487217410987,2025-01-08 21:56:40.886149,2025-01-08 21:59:05.749073,0 days 00:02:24.862924,,entropy,435,log2,12,74,5832,COMPLETE
448,0.6656020633091032,2025-01-08 21:56:43.192644,2025-01-08 21:59:08.290055,0 days 00:02:25.097411,,entropy,426,log2,11,74,5871,COMPLETE
449,0.6648796799280366,2025-01-08 21:56:47.000953,2025-01-08 21:59:09.048630,0 days 00:02:22.047677,,entropy,540,log2,13,75,5845,COMPLETE
450,0.6708650692078867,2025-01-08 21:56:49.634754,2025-01-08 21:59:19.258084,0 days 00:02:29.623330,,entropy,699,sqrt,12,17,5818,COMPLETE
451,0.6639703455624654,2025-01-08 21:56:59.338780,2025-01-08 21:59:18.163234,0 days 00:02:18.824454,,entropy,427,log2,12,83,5825,COMPLETE
452,0.6896679058959384,2025-01-08 21:57:00.407515,2025-01-08 21:59:22.378070,0 days 00:02:21.970555,balanced,entropy,425,log2,13,85,5852,COMPLETE
453,0.6897862156221831,2025-01-08 21:57:01.649086,2025-01-08 21:59:24.569372,0 days 00:02:22.920286,balanced,entropy,429,log2,13,77,5775,COMPLETE
454,0.6685905058997981,2025-01-08 21:57:20.123024,2025-01-08 21:59:46.440983,0 days 00:02:26.317959,,entropy,709,log2,14,18,5816,COMPLETE
455,0.689968579332595,2025-01-08 21:57:27.351592,2025-01-08 21:59:49.424485,0 days 00:02:22.072893,balanced,entropy,544,sqrt,12,81,6140,COMPLETE
456,0.6632898377648558,2025-01-08 21:57:29.720478,2025-01-08 21:59:52.264796,0 days 00:02:22.544318,,entropy,708,sqrt,12,84,6079,COMPLETE
457,0.6706185772942209,2025-01-08 21:57:32.243369,2025-01-08 21:59:57.092053,0 days 00:02:24.848684,,entropy,546,sqrt,12,3,5739,COMPLETE
458,0.6152767253307606,2025-01-08 21:57:35.463003,2025-01-08 21:59:42.542261,0 days 00:02:07.079258,,entropy,543,log2,144,82,5767,COMPLETE
459,0.6900287275780744,2025-01-08 21:57:36.999938,2025-01-08 22:00:03.933786,0 days 00:02:26.933848,balanced,entropy,690,log2,12,79,6117,COMPLETE
460,0.6676181346278298,2025-01-08 21:57:38.595541,2025-01-08 22:00:05.797840,0 days 00:02:27.202299,,entropy,698,log2,15,2,5675,COMPLETE
461,0.6616295256332134,2025-01-08 21:57:51.424694,2025-01-08 22:00:05.017385,0 days 00:02:13.592691,,entropy,697,log2,13,108,5568,COMPLETE
462,0.663220068062618,2025-01-08 21:57:51.642022,2025-01-08 22:00:11.851642,0 days 00:02:20.209620,,entropy,690,log2,13,83,6145,COMPLETE
463,0.68999911118276,2025-01-08 21:58:05.304032,2025-01-08 22:00:33.274073,0 days 00:02:27.970041,balanced,entropy,630,log2,13,76,6210,COMPLETE
464,0.6898502668072611,2025-01-08 21:58:09.762918,2025-01-08 22:00:30.481833,0 days 00:02:20.718915,balanced,entropy,709,log2,13,79,5587,COMPLETE
465,0.6897380044829303,2025-01-08 21:58:17.982639,2025-01-08 22:00:34.638824,0 days 00:02:16.656185,balanced,entropy,711,log2,13,71,5558,COMPLETE
466,0.659048697335621,2025-01-08 21:58:18.188212,2025-01-08 22:00:34.859979,0 days 00:02:16.671767,,entropy,696,sqrt,24,79,5604,COMPLETE
467,0.6086409472057017,2025-01-08 21:58:19.905589,2025-01-08 22:00:23.599572,0 days 00:02:03.693983,,entropy,711,log2,157,75,4859,COMPLETE
468,0.6466518136460309,2025-01-08 21:58:23.601499,2025-01-08 22:00:44.052890,0 days 00:02:20.451391,,entropy,700,log2,23,297,6144,COMPLETE
469,0.686113073234873,2025-01-08 21:58:26.602884,2025-01-08 22:00:44.159706,0 days 00:02:17.556822,balanced,entropy,697,log2,24,68,5205,COMPLETE
470,0.6843004050953719,2025-01-08 21:58:33.709153,2025-01-08 22:00:53.956782,0 days 00:02:20.247629,balanced,entropy,694,sqrt,26,78,6253,COMPLETE
471,0.6851302507392475,2025-01-08 21:58:36.663141,2025-01-08 22:00:52.824286,0 days 00:02:16.161145,balanced,entropy,729,sqrt,23,81,5248,COMPLETE
472,0.6850803376636151,2025-01-08 21:58:44.872074,2025-01-08 22:01:06.630136,0 days 00:02:21.758062,balanced,entropy,624,sqrt,24,83,6062,COMPLETE
473,0.6842643743405287,2025-01-08 21:58:58.500410,2025-01-08 22:01:00.252429,0 days 00:02:01.752019,balanced,entropy,695,sqrt,25,84,4872,COMPLETE
474,0.6842062617005352,2025-01-08 21:59:00.605348,2025-01-08 22:01:12.054294,0 days 00:02:11.448946,balanced,entropy,693,sqrt,27,71,5220,COMPLETE
475,0.686028427128574,2025-01-08 21:59:05.751081,2025-01-08 22:01:12.973350,0 days 00:02:07.222269,balanced,gini,57,sqrt,23,75,5226,COMPLETE
476,0.6860220259607305,2025-01-08 21:59:08.292061,2025-01-08 22:01:12.085895,0 days 00:02:03.793834,balanced,entropy,698,sqrt,25,32,4881,COMPLETE
477,0.6854163375758656,2025-01-08 21:59:09.050638,2025-01-08 22:01:17.796252,0 days 00:02:08.745614,balanced,gini,694,sqrt,24,78,4864,COMPLETE
478,0.6844023126300214,2025-01-08 21:59:18.175327,2025-01-08 22:01:23.125046,0 days 00:02:04.949719,balanced,gini,625,sqrt,24,105,5210,COMPLETE
479,0.6860751604011677,2025-01-08 21:59:19.260091,2025-01-08 22:01:29.341807,0 days 00:02:10.081716,balanced,gini,194,sqrt,22,79,5198,COMPLETE
480,0.6773389786003322,2025-01-08 21:59:22.380076,2025-01-08 22:01:36.850176,0 days 00:02:14.470100,balanced,gini,733,sqrt,55,103,6194,COMPLETE
481,0.6629755601539867,2025-01-08 21:59:24.571378,2025-01-08 22:01:26.494026,0 days 00:02:01.922648,balanced,gini,703,sqrt,147,2,4866,COMPLETE
482,0.6851131571072555,2025-01-08 21:59:42.544266,2025-01-08 22:01:49.882027,0 days 00:02:07.337761,balanced,gini,722,sqrt,26,33,6213,COMPLETE
483,0.6551118061741769,2025-01-08 21:59:46.442729,2025-01-08 22:01:42.586432,0 days 00:01:56.143703,balanced,gini,62,sqrt,202,34,6283,COMPLETE
484,0.680135643848137,2025-01-08 21:59:49.428238,2025-01-08 22:01:51.304738,0 days 00:02:01.876500,balanced,gini,687,sqrt,26,312,6141,COMPLETE
485,0.6859538853655623,2025-01-08 21:59:52.266803,2025-01-08 22:01:52.932205,0 days 00:02:00.665402,balanced,entropy,698,sqrt,25,34,5198,COMPLETE
486,0.6862286559433537,2025-01-08 21:59:57.101828,2025-01-08 22:01:52.900291,0 days 00:01:55.798463,balanced,gini,684,sqrt,24,35,4846,COMPLETE
487,0.6853767379557466,2025-01-08 22:00:03.935792,2025-01-08 22:02:03.610299,0 days 00:01:59.674507,balanced,gini,688,sqrt,25,34,5225,COMPLETE
488,0.684134756536674,2025-01-08 22:00:05.019392,2025-01-08 22:02:02.600195,0 days 00:01:57.580803,balanced,gini,736,sqrt,29,34,5208,COMPLETE
489,0.6854187121075138,2025-01-08 22:00:05.799847,2025-01-08 22:02:06.472538,0 days 00:02:00.672691,balanced,gini,999,sqrt,26,35,5203,COMPLETE
490,0.6854116154861679,2025-01-08 22:00:11.853648,2025-01-08 22:02:14.832892,0 days 00:02:02.979244,balanced,gini,63,sqrt,25,35,4875,COMPLETE
491,0.6851013348062214,2025-01-08 22:00:23.603584,2025-01-08 22:02:21.378352,0 days 00:01:57.774768,balanced,gini,628,sqrt,26,32,5217,COMPLETE
492,0.6808171755904858,2025-01-08 22:00:30.483839,2025-01-08 22:02:23.116953,0 days 00:01:52.633114,balanced,gini,57,sqrt,26,291,5200,COMPLETE
493,0.6848374446003249,2025-01-08 22:00:33.276078,2025-01-08 22:02:28.127178,0 days 00:01:54.851100,balanced,gini,49,sqrt,27,30,5242,COMPLETE
494,0.680685101981863,2025-01-08 22:00:34.640830,2025-01-08 22:02:26.200422,0 days 00:01:51.559592,balanced,gini,619,sqrt,27,290,5175,COMPLETE
495,0.6866370809474759,2025-01-08 22:00:34.872016,2025-01-08 22:02:31.505323,0 days 00:01:56.633307,balanced,gini,612,sqrt,23,33,5209,COMPLETE
496,0.6872212448310986,2025-01-08 22:00:44.054897,2025-01-08 22:02:36.744350,0 days 00:01:52.689453,balanced,entropy,636,sqrt,23,31,5185,COMPLETE
497,0.6861285559863592,2025-01-08 22:00:44.183598,2025-01-08 22:02:38.107263,0 days 00:01:53.923665,balanced,entropy,46,sqrt,24,36,5228,COMPLETE
498,0.6853213068144295,2025-01-08 22:00:52.826292,2025-01-08 22:02:38.773667,0 days 00:01:45.947375,balanced,gini,252,sqrt,26,35,5193,COMPLETE
499,0.6799780625331588,2025-01-08 22:00:53.969413,2025-01-08 22:02:37.710453,0 days 00:01:43.741040,balanced,gini,457,sqrt,23,368,4860,COMPLETE
