number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
10,0.4786631421872996,2025-01-10 22:35:16.790558,2025-01-10 22:38:03.346173,0 days 00:02:46.555615,18.070415278634087,0.3108444426372485,0.9572452424105109,0.8008676532241363,22.906498546672655,42.85262953423546,0.19203631779731448,63,81,2007,0.39242827430498023,COMPLETE
11,0.486240165633081,2025-01-10 22:35:16.791557,2025-01-10 22:38:52.964793,0 days 00:03:36.173236,10.30694252892057,0.28698160053944116,0.7896257169368164,0.6851839550579342,32.281034303018316,2.7125300566155253,0.010709251317559145,79,66,3822,0.3414362272773073,COMPLETE
12,0.46977992584941,2025-01-10 22:35:16.792556,2025-01-10 22:39:04.579205,0 days 00:03:47.786649,38.76149227376759,0.4825565688837232,0.9186043485022357,0.6307906270705164,25.554064968052842,26.353527176552916,0.24601300909169355,97,24,4288,0.772605921753591,COMPLETE
13,0.5221085298121114,2025-01-10 22:35:16.792556,2025-01-10 22:37:39.852859,0 days 00:02:23.060303,45.99595615508634,0.49238634196481207,0.2583880103667598,0.843863263236363,32.170638140992885,44.02865570197311,0.08606344334249236,80,96,1175,0.3514203270306223,COMPLETE
14,0.4225404393912077,2025-01-10 22:35:47.742140,2025-01-10 22:39:04.021700,0 days 00:03:16.279560,38.21494810790147,0.22793014749224155,0.758257545420588,0.5084173716939373,8.646612623440841,45.06285452866718,0.21740480509294655,43,54,2753,0.8957939808244966,COMPLETE
15,0.5293681280646698,2025-01-10 22:36:46.451864,2025-01-10 22:39:59.701568,0 days 00:03:13.249704,70.86804831690368,0.9091598661734721,0.2977270354855274,0.5188441394601507,35.04185134557155,95.04065755739722,0.2776839890184537,21,34,4323,0.355240476146385,COMPLETE
16,0.4803446883145206,2025-01-10 22:37:07.890305,2025-01-10 22:40:21.380121,0 days 00:03:13.489816,22.606636628961986,0.575527284518647,0.7629051436456935,0.6305767086534122,42.366137992811964,93.54390864254731,0.27903154697860044,11,46,3673,0.9060131033684367,COMPLETE
17,0.4960827318252888,2025-01-10 22:37:21.796834,2025-01-10 22:40:04.259123,0 days 00:02:42.462289,32.911338271842126,0.7245628643528623,0.40133976251611153,0.9488686001990365,47.62203858278015,13.000560450002748,0.38478854769113663,49,58,2800,0.486846553072068,COMPLETE
18,0.44685491094452007,2025-01-10 22:37:23.971470,2025-01-10 22:41:03.145581,0 days 00:03:39.174111,26.177497937448802,0.6165500798311498,0.955885479316019,0.9625481619160814,38.63743857778977,76.31508275880606,0.18996542960716545,94,22,4937,0.9738665694505839,COMPLETE
19,0.4152538658980205,2025-01-10 22:37:39.855859,2025-01-10 22:40:08.918995,0 days 00:02:29.063136,67.44935387717726,0.6619378323247245,0.43286367543466275,0.8365766060150237,0.8878110729212518,89.46340261932797,0.15000387644405802,49,22,799,0.6836607901496612,COMPLETE
20,0.47298328101787684,2025-01-10 22:37:44.945768,2025-01-10 22:40:10.479740,0 days 00:02:25.533972,72.79687956617121,0.3639678733558964,0.7942654581180733,0.8537612344661798,17.001358321593507,39.026259313407316,0.3099532973007592,54,2,841,0.835685491056827,COMPLETE
21,0.4867146872571064,2025-01-10 22:38:03.349172,2025-01-10 22:41:04.841314,0 days 00:03:01.492142,73.12302284260959,0.7152090969807412,0.9132189620260585,0.7688522287074877,48.43605500058842,88.56053342162828,0.22479088846185497,31,89,2595,0.7921677708063288,COMPLETE
22,0.6134957470224717,2025-01-10 22:38:46.352386,2025-01-10 22:40:14.037738,0 days 00:01:27.685352,89.31542340694884,0.6738254723647161,0.8881655743600247,0.7312893625600021,33.15068068025761,29.328971139878046,0.2504830643654299,91,77,282,0.22015595735509114,COMPLETE
23,0.4292803138624097,2025-01-10 22:38:52.967793,2025-01-10 22:41:31.731660,0 days 00:02:38.763867,35.660194511233335,0.7093218482673487,0.22571043571413518,0.2145554438067951,3.408854590307321,97.95323011892523,0.3990138447530537,28,48,3282,0.9186235854688793,COMPLETE
24,0.4303539631258309,2025-01-10 22:38:54.629569,2025-01-10 22:40:23.535434,0 days 00:01:28.905865,31.4346780131862,0.45888701563551215,0.510407609657341,0.2172433388705256,0.21850609330495274,89.76250591295774,0.2745175496412202,31,51,148,0.8959752204712197,COMPLETE
25,0.3889855341145812,2025-01-10 22:38:56.175294,2025-01-10 22:41:45.058664,0 days 00:02:48.883370,35.04923017647779,0.6937877213122584,0.41708164452782176,0.29931874529614133,0.7381277824542455,23.766371386220165,0.2603189036339073,26,48,3279,0.9055546129361376,COMPLETE
26,0.39860494961040666,2025-01-10 22:39:04.022700,2025-01-10 22:42:43.394298,0 days 00:03:39.371598,1.6498131751481822,0.4777423505751266,0.6862617696141408,0.21401869239136162,0.45852794979212774,65.9913030364015,0.28210501015138434,39,53,3652,0.9656705044560843,COMPLETE
27,0.4103051387085448,2025-01-10 22:39:04.581207,2025-01-10 22:41:16.707203,0 days 00:02:12.125996,1.9549585540419656,0.4110323341587063,0.6817756129420559,0.20523151073699175,1.1088046811837273,65.43835999546164,0.3004372969279629,40,56,286,0.9835476149741924,COMPLETE
28,0.355200882964319,2025-01-10 22:39:44.560501,2025-01-10 22:42:35.185978,0 days 00:02:50.625477,0.8696345011492213,0.4136133980513487,0.6719550003963154,0.46017066429693293,0.19576066511136503,99.31206485593269,0.13605602875490763,40,1,307,0.987983098489839,COMPLETE
29,0.5010770800236907,2025-01-10 22:39:59.701568,2025-01-10 22:41:28.539524,0 days 00:01:28.837956,0.7409695383111021,0.428231538818072,0.6632794608532685,0.20070873225709013,1.5830853371307687,65.68369381598164,0.1334978896108452,38,3,52,0.9404652130229685,COMPLETE
30,0.4461784470994828,2025-01-10 22:40:04.259123,2025-01-10 22:41:47.432658,0 days 00:01:43.173535,4.6406049779438305,0.43013124955757454,0.6881286248510181,0.21378122400923566,0.08924052711604091,59.01730577297133,0.12645358136503704,37,60,98,0.9795943319972251,COMPLETE
31,0.4922230232566156,2025-01-10 22:40:08.918995,2025-01-10 22:41:40.131010,0 days 00:01:31.212015,55.117269354520545,0.6315000099006549,0.20599517077395021,0.22176332941541643,0.19796619699299456,65.77969692934263,0.12738162666094274,36,3,65,0.6638631079355533,COMPLETE
32,0.44055369190859,2025-01-10 22:40:10.479740,2025-01-10 22:41:58.015516,0 days 00:01:47.535776,52.86785032559799,0.6371947764099829,0.21282238941061254,0.21542327267279604,0.1482049689049183,61.411247874372165,0.14011859822383016,35,5,350,0.6108795645963979,COMPLETE
33,0.47585491897242477,2025-01-10 22:40:14.037738,2025-01-10 22:41:52.732304,0 days 00:01:38.694566,53.944691576647195,0.5967560857700195,0.6537616267571467,0.21069875759027756,0.2292962975256978,61.664390146376824,0.1229980317360678,32,8,114,0.6352670837564228,COMPLETE
34,0.42465702484995593,2025-01-10 22:40:21.380121,2025-01-10 22:42:03.915102,0 days 00:01:42.534981,0.6202827191117279,0.44177300994365815,0.6558024571782861,0.2025029648994624,1.0951716055776615,62.92931120231677,0.12439479845713228,36,65,158,0.6199221691394895,COMPLETE
