number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
290,0.9362582781456954,2025-01-04 21:24:39.623050,2025-01-04 21:25:16.140552,0 days 00:00:36.517502,807,sqrt,1,61,488,COMPLETE
291,0.9318432671081678,2025-01-04 21:24:43.235928,2025-01-04 21:25:18.800942,0 days 00:00:35.565014,763,sqrt,1,65,473,COMPLETE
292,0.9362582781456954,2025-01-04 21:24:43.330203,2025-01-04 21:25:21.521717,0 days 00:00:38.191514,810,sqrt,1,60,495,COMPLETE
293,0.9340507726269315,2025-01-04 21:24:44.511030,2025-01-04 21:25:24.557630,0 days 00:00:40.046600,814,sqrt,2,62,538,COMPLETE
294,0.9384512606018357,2025-01-04 21:24:45.141509,2025-01-04 21:25:27.891617,0 days 00:00:42.750108,753,sqrt,4,49,554,COMPLETE
295,0.9362582781456954,2025-01-04 21:24:51.640899,2025-01-04 21:25:35.811399,0 days 00:00:44.170500,769,sqrt,1,62,570,COMPLETE
296,0.9384512606018357,2025-01-04 21:24:52.035184,2025-01-04 21:25:37.730784,0 days 00:00:45.695600,803,sqrt,5,56,589,COMPLETE
297,0.9450447310328802,2025-01-04 21:24:52.695801,2025-01-04 21:25:32.534245,0 days 00:00:39.838444,766,sqrt,1,48,525,COMPLETE
298,0.9384512606018357,2025-01-04 21:24:55.495656,2025-01-04 21:25:46.111426,0 days 00:00:50.615770,747,sqrt,1,52,626,COMPLETE
299,0.9362292320204485,2025-01-04 21:24:57.051737,2025-01-04 21:25:34.613951,0 days 00:00:37.562214,751,sqrt,3,122,600,COMPLETE
300,0.934065295689555,2025-01-04 21:24:59.712447,2025-01-04 21:25:49.803512,0 days 00:00:50.091065,796,sqrt,2,51,602,COMPLETE
301,0.9384367375392122,2025-01-04 21:25:00.120288,2025-01-04 21:25:46.190426,0 days 00:00:46.070138,771,sqrt,4,124,714,COMPLETE
302,0.9318432671081678,2025-01-04 21:25:00.815838,2025-01-04 21:25:42.034748,0 days 00:00:41.218910,765,sqrt,2,115,606,COMPLETE
303,0.9318432671081678,2025-01-04 21:25:01.110697,2025-01-04 21:29:31.040171,0 days 00:04:29.929474,790,sqrt,2,120,4526,COMPLETE
304,0.9362292320204485,2025-01-04 21:25:01.247403,2025-01-04 21:25:39.022139,0 days 00:00:37.774736,775,sqrt,1,122,598,COMPLETE
305,0.9362292320204485,2025-01-04 21:25:02.832917,2025-01-04 21:25:44.575378,0 days 00:00:41.742461,762,sqrt,1,122,656,COMPLETE
306,0.9340362495643081,2025-01-04 21:25:03.289786,2025-01-04 21:25:44.261114,0 days 00:00:40.971328,778,sqrt,2,120,638,COMPLETE
307,0.9318432671081678,2025-01-04 21:25:03.682830,2025-01-04 21:29:44.512318,0 days 00:04:40.829488,791,sqrt,3,117,4706,COMPLETE
308,0.9340362495643081,2025-01-04 21:25:03.729858,2025-01-04 21:25:44.543909,0 days 00:00:40.814051,771,sqrt,1,120,634,COMPLETE
309,0.9274427791332635,2025-01-04 21:25:03.862310,2025-01-04 21:29:24.914047,0 days 00:04:21.051737,762,sqrt,2,127,4629,COMPLETE
310,0.9340362495643081,2025-01-04 21:25:04.187236,2025-01-04 21:25:47.995667,0 days 00:00:43.808431,779,sqrt,1,117,669,COMPLETE
311,0.6285726734053677,2025-01-04 21:25:08.331605,2025-01-04 21:25:23.708765,0 days 00:00:15.377160,779,sqrt,25,403,679,COMPLETE
312,0.9185982339955849,2025-01-04 21:25:09.922634,2025-01-04 21:29:07.539257,0 days 00:03:57.616623,763,sqrt,24,122,4145,COMPLETE
313,0.9318432671081678,2025-01-04 21:25:11.521383,2025-01-04 21:26:00.239903,0 days 00:00:48.718520,769,sqrt,1,116,759,COMPLETE
314,0.9340362495643081,2025-01-04 21:25:13.760526,2025-01-04 21:25:57.766740,0 days 00:00:44.006214,778,sqrt,1,122,707,COMPLETE
315,0.9340362495643082,2025-01-04 21:25:14.613397,2025-01-04 21:25:55.671999,0 days 00:00:41.058602,757,log2,2,122,678,COMPLETE
316,0.9362292320204485,2025-01-04 21:25:16.142827,2025-01-04 21:25:57.798646,0 days 00:00:41.655819,762,sqrt,3,124,689,COMPLETE
317,0.9163907284768212,2025-01-04 21:25:18.816591,2025-01-04 21:26:02.904966,0 days 00:00:44.088375,416,log2,1,129,758,COMPLETE
318,0.9186127570582084,2025-01-04 21:25:21.541352,2025-01-04 21:26:01.562798,0 days 00:00:40.021446,770,log2,23,122,652,COMPLETE
319,0.9186127570582084,2025-01-04 21:25:23.724480,2025-01-04 21:26:06.133984,0 days 00:00:42.409504,747,log2,23,121,708,COMPLETE
320,0.9274137330080169,2025-01-04 21:25:24.557630,2025-01-04 21:29:47.324646,0 days 00:04:22.767016,754,log2,22,122,4637,COMPLETE
321,0.9340362495643082,2025-01-04 21:25:27.907327,2025-01-04 21:26:09.871671,0 days 00:00:41.964344,747,log2,1,125,704,COMPLETE
322,0.6285726734053677,2025-01-04 21:25:32.534245,2025-01-04 21:27:19.835325,0 days 00:01:47.301080,749,log2,2,594,5098,COMPLETE
323,0.9384657836644591,2025-01-04 21:25:34.629752,2025-01-04 21:30:27.725016,0 days 00:04:53.095264,410,sqrt,2,47,4076,COMPLETE
324,0.9384512606018357,2025-01-04 21:25:35.811399,2025-01-04 21:30:58.824240,0 days 00:05:23.012841,764,log2,4,37,4586,COMPLETE
325,0.9428517485767398,2025-01-04 21:25:37.730784,2025-01-04 21:26:33.172191,0 days 00:00:55.441407,412,log2,1,42,725,COMPLETE
326,0.9406442430579761,2025-01-04 21:25:39.037878,2025-01-04 21:26:33.368526,0 days 00:00:54.330648,748,log2,2,42,727,COMPLETE
327,0.9428517485767398,2025-01-04 21:25:42.039745,2025-01-04 21:26:46.034079,0 days 00:01:03.994334,732,log2,1,43,823,COMPLETE
328,0.9384657836644591,2025-01-04 21:25:44.276935,2025-01-04 21:30:42.562047,0 days 00:04:58.285112,746,sqrt,2,43,4200,COMPLETE
329,0.9450592540955037,2025-01-04 21:25:44.559582,2025-01-04 21:26:59.626210,0 days 00:01:15.066628,763,sqrt,1,43,997,COMPLETE
330,0.9185982339955849,2025-01-04 21:25:44.592875,2025-01-04 21:30:51.441979,0 days 00:05:06.849104,749,sqrt,23,39,4594,COMPLETE
331,0.9406587661205995,2025-01-04 21:25:46.127216,2025-01-04 21:26:59.661363,0 days 00:01:13.534147,738,sqrt,2,29,996,COMPLETE
332,0.9428517485767398,2025-01-04 21:25:46.190426,2025-01-04 21:26:57.723013,0 days 00:01:11.532587,742,sqrt,1,47,949,COMPLETE
333,0.9428517485767398,2025-01-04 21:25:48.011570,2025-01-04 21:26:56.395263,0 days 00:01:08.383693,744,log2,1,44,928,COMPLETE
334,0.9428517485767398,2025-01-04 21:25:49.819316,2025-01-04 21:26:52.632018,0 days 00:01:02.812702,742,log2,1,42,852,COMPLETE
335,0.9428662716393633,2025-01-04 21:25:55.688120,2025-01-04 21:31:23.281355,0 days 00:05:27.593235,755,sqrt,1,48,4618,COMPLETE
336,0.9185982339955849,2025-01-04 21:25:57.782729,2025-01-04 21:27:05.019279,0 days 00:01:07.236550,413,sqrt,23,37,972,COMPLETE
337,0.9185982339955849,2025-01-04 21:25:57.798646,2025-01-04 21:27:09.151078,0 days 00:01:11.352432,736,sqrt,24,44,1033,COMPLETE
338,0.9164052515394446,2025-01-04 21:26:00.239903,2025-01-04 21:26:59.015974,0 days 00:00:58.776071,734,log2,26,50,859,COMPLETE
339,0.9185982339955849,2025-01-04 21:26:01.578689,2025-01-04 21:27:13.417662,0 days 00:01:11.838973,728,sqrt,24,42,1038,COMPLETE
340,0.9185982339955849,2025-01-04 21:26:02.924141,2025-01-04 21:31:10.371072,0 days 00:05:07.446931,725,sqrt,22,39,4593,COMPLETE
341,0.9185982339955849,2025-01-04 21:26:06.133984,2025-01-04 21:30:59.278524,0 days 00:04:53.144540,744,sqrt,24,42,4452,COMPLETE
342,0.9164052515394446,2025-01-04 21:26:09.887309,2025-01-04 21:27:13.310954,0 days 00:01:03.423645,737,sqrt,25,44,919,COMPLETE
343,0.9428517485767398,2025-01-04 21:26:33.180462,2025-01-04 21:27:45.660290,0 days 00:01:12.479828,744,log2,1,44,971,COMPLETE
344,0.9428372255141165,2025-01-04 21:26:33.385926,2025-01-04 21:32:08.137099,0 days 00:05:34.751173,737,log2,1,42,4811,COMPLETE
345,0.9450447310328802,2025-01-04 21:26:46.041982,2025-01-04 21:28:02.496033,0 days 00:01:16.454051,735,log2,1,39,1045,COMPLETE
346,0.9164052515394446,2025-01-04 21:26:52.642032,2025-01-04 21:28:02.474499,0 days 00:01:09.832467,740,log2,23,43,1043,COMPLETE
347,0.9164052515394446,2025-01-04 21:26:56.404282,2025-01-04 21:28:12.081135,0 days 00:01:15.676853,729,log2,22,44,1093,COMPLETE
348,0.9164052515394446,2025-01-04 21:26:57.734143,2025-01-04 21:28:08.554497,0 days 00:01:10.820354,716,log2,24,42,1023,COMPLETE
349,0.9450447310328802,2025-01-04 21:26:59.022973,2025-01-04 21:28:17.534450,0 days 00:01:18.511477,719,log2,1,39,1052,COMPLETE
350,0.9428517485767398,2025-01-04 21:26:59.631236,2025-01-04 21:28:19.743997,0 days 00:01:20.112761,721,log2,1,41,1066,COMPLETE
351,0.9450447310328802,2025-01-04 21:26:59.685881,2025-01-04 21:28:14.985982,0 days 00:01:15.300101,725,log2,1,40,1018,COMPLETE
352,0.6285726734053677,2025-01-04 21:27:05.026198,2025-01-04 21:27:27.069188,0 days 00:00:22.042990,719,log2,389,35,1060,COMPLETE
353,0.9472522365516441,2025-01-04 21:27:09.157153,2025-01-04 21:28:32.175887,0 days 00:01:23.018734,737,log2,1,39,1084,COMPLETE
354,0.9428517485767398,2025-01-04 21:27:13.317966,2025-01-04 21:28:36.920126,0 days 00:01:23.602160,688,log2,1,36,1071,COMPLETE
355,0.9494452190077842,2025-01-04 21:27:13.425354,2025-01-04 21:28:42.975299,0 days 00:01:29.549945,711,log2,1,22,1123,COMPLETE
356,0.9472377134890205,2025-01-04 21:27:19.845752,2025-01-04 21:28:43.949763,0 days 00:01:24.104011,689,log2,2,21,1053,COMPLETE
357,0.9472522365516441,2025-01-04 21:27:27.076306,2025-01-04 21:28:51.959112,0 days 00:01:24.882806,710,log2,1,25,1071,COMPLETE
358,0.9516236784013014,2025-01-04 21:27:45.662792,2025-01-04 21:29:16.847297,0 days 00:01:31.184505,693,log2,2,6,1093,COMPLETE
359,0.6285726734053677,2025-01-04 21:28:02.491102,2025-01-04 21:29:37.932756,0 days 00:01:35.441654,705,log2,455,6,4387,COMPLETE
360,0.6285726734053677,2025-01-04 21:28:02.504369,2025-01-04 21:28:28.967926,0 days 00:00:26.463557,708,log2,271,21,1066,COMPLETE
361,0.6285726734053677,2025-01-04 21:28:08.559004,2025-01-04 21:28:33.149365,0 days 00:00:24.590361,683,log2,303,3,1076,COMPLETE
362,0.9516236784013014,2025-01-04 21:28:12.087389,2025-01-04 21:29:27.242082,0 days 00:01:15.154693,699,log2,1,5,923,COMPLETE
363,0.956009643313582,2025-01-04 21:28:14.990982,2025-01-04 21:29:46.551351,0 days 00:01:31.560369,692,log2,1,3,1118,COMPLETE
364,0.9516382014639246,2025-01-04 21:28:17.544984,2025-01-04 21:29:33.584009,0 days 00:01:16.039025,688,log2,1,8,941,COMPLETE
365,0.6285726734053677,2025-01-04 21:28:19.751170,2025-01-04 21:28:45.112976,0 days 00:00:25.361806,690,log2,295,11,1057,COMPLETE
366,0.9516236784013014,2025-01-04 21:28:28.972925,2025-01-04 21:29:58.384340,0 days 00:01:29.411415,681,log2,2,7,1179,COMPLETE
367,0.9494452190077842,2025-01-04 21:28:32.180887,2025-01-04 21:29:54.453325,0 days 00:01:22.272438,684,log2,1,11,1088,COMPLETE
368,0.9450447310328802,2025-01-04 21:28:33.154365,2025-01-04 21:33:26.661075,0 days 00:04:53.506710,679,log2,1,20,4123,COMPLETE
369,0.6285726734053677,2025-01-04 21:28:36.931632,2025-01-04 21:29:03.301538,0 days 00:00:26.369906,693,log2,459,18,1222,COMPLETE
370,0.9472522365516441,2025-01-04 21:28:42.983302,2025-01-04 21:30:04.358153,0 days 00:01:21.374851,685,log2,1,18,1162,COMPLETE
371,0.9560241663762055,2025-01-04 21:28:43.962290,2025-01-04 21:34:30.548712,0 days 00:05:46.586422,689,log2,1,4,4399,COMPLETE
372,0.9472377134890205,2025-01-04 21:28:45.122190,2025-01-04 21:30:09.947075,0 days 00:01:24.824885,683,log2,3,19,1259,COMPLETE
373,0.9450447310328802,2025-01-04 21:28:51.967179,2025-01-04 21:30:12.156314,0 days 00:01:20.189135,669,log2,2,21,1189,COMPLETE
374,0.9494306959451609,2025-01-04 21:29:03.307091,2025-01-04 21:30:37.609284,0 days 00:01:34.302193,706,log2,2,6,1311,COMPLETE
375,0.9450447310328802,2025-01-04 21:29:07.547344,2025-01-04 21:30:33.693272,0 days 00:01:26.145928,668,log2,1,21,1281,COMPLETE
376,0.9516236784013014,2025-01-04 21:29:16.853330,2025-01-04 21:30:49.252378,0 days 00:01:32.399048,666,log2,1,4,1267,COMPLETE
377,0.9450447310328802,2025-01-04 21:29:24.918250,2025-01-04 21:30:46.362912,0 days 00:01:21.444662,673,log2,1,21,1260,COMPLETE
378,0.9207912164517253,2025-01-04 21:29:27.252151,2025-01-04 21:30:48.102819,0 days 00:01:20.850668,707,log2,22,11,1350,COMPLETE
379,0.9428517485767398,2025-01-04 21:29:31.045199,2025-01-04 21:30:57.798400,0 days 00:01:26.753201,675,log2,8,4,1308,COMPLETE
380,0.9207912164517253,2025-01-04 21:29:33.593210,2025-01-04 21:30:54.277078,0 days 00:01:20.683868,666,log2,20,9,1324,COMPLETE
381,0.9207912164517253,2025-01-04 21:29:37.936387,2025-01-04 21:31:00.072934,0 days 00:01:22.136547,669,log2,22,3,1350,COMPLETE
382,0.9163907284768212,2025-01-04 21:29:44.518251,2025-01-04 21:31:06.040424,0 days 00:01:21.522173,675,log2,23,21,1334,COMPLETE
383,0.9163907284768212,2025-01-04 21:29:46.558855,2025-01-04 21:31:05.021388,0 days 00:01:18.462533,671,log2,22,2,1290,COMPLETE
384,0.9163907284768212,2025-01-04 21:29:47.330263,2025-01-04 21:31:10.012190,0 days 00:01:22.681927,662,log2,22,5,1337,COMPLETE
385,0.9163907284768212,2025-01-04 21:29:54.456179,2025-01-04 21:31:16.995768,0 days 00:01:22.539589,670,log2,22,3,1323,COMPLETE
386,0.9141977460206808,2025-01-04 21:29:58.391595,2025-01-04 21:31:13.976336,0 days 00:01:15.584741,667,log2,22,7,1182,COMPLETE
387,0.9163907284768212,2025-01-04 21:30:04.364211,2025-01-04 21:31:28.601906,0 days 00:01:24.237695,669,log2,21,2,1319,COMPLETE
388,0.9207912164517253,2025-01-04 21:30:09.954084,2025-01-04 21:31:33.512781,0 days 00:01:23.558697,666,log2,21,5,1331,COMPLETE
389,0.9163907284768212,2025-01-04 21:30:12.164314,2025-01-04 21:31:36.694925,0 days 00:01:24.530611,665,log2,22,3,1322,COMPLETE
390,0.9142122690833042,2025-01-04 21:30:27.732019,2025-01-04 21:31:50.815236,0 days 00:01:23.083217,668,log2,25,4,1278,COMPLETE
391,0.9185837109329617,2025-01-04 21:30:33.705756,2025-01-04 21:32:00.422660,0 days 00:01:26.716904,669,log2,21,2,1338,COMPLETE
392,0.9207912164517253,2025-01-04 21:30:37.617377,2025-01-04 21:32:06.507382,0 days 00:01:28.890005,670,log2,22,2,1350,COMPLETE
393,0.9163907284768212,2025-01-04 21:30:39.714011,2025-01-04 21:32:07.372318,0 days 00:01:27.658307,665,log2,22,3,1375,COMPLETE
394,0.6285726734053677,2025-01-04 21:30:42.568073,2025-01-04 21:31:11.146082,0 days 00:00:28.578009,663,log2,168,13,1364,COMPLETE
395,0.9142122690833042,2025-01-04 21:30:46.375462,2025-01-04 21:32:14.987324,0 days 00:01:28.611862,663,log2,25,2,1377,COMPLETE
396,0.9163907284768212,2025-01-04 21:30:48.107620,2025-01-04 21:32:10.418366,0 days 00:01:22.310746,665,log2,22,2,1287,COMPLETE
397,0.9163907284768212,2025-01-04 21:30:49.261426,2025-01-04 21:32:20.321199,0 days 00:01:31.059773,665,log2,22,3,1362,COMPLETE
398,0.9163907284768212,2025-01-04 21:30:51.446115,2025-01-04 21:32:17.707964,0 days 00:01:26.261849,671,log2,22,4,1308,COMPLETE
399,0.9207912164517253,2025-01-04 21:30:54.284121,2025-01-04 21:32:19.021363,0 days 00:01:24.737242,623,log2,21,4,1277,COMPLETE
400,0.9163907284768212,2025-01-04 21:30:57.804903,2025-01-04 21:32:27.281366,0 days 00:01:29.476463,634,log2,22,4,1337,COMPLETE
401,0.9207912164517253,2025-01-04 21:30:58.834328,2025-01-04 21:32:29.219331,0 days 00:01:30.385003,635,log2,22,4,1350,COMPLETE
402,0.925206227489253,2025-01-04 21:30:59.284030,2025-01-04 21:32:24.384412,0 days 00:01:25.100382,659,log2,19,13,1299,COMPLETE
403,0.9296212385267806,2025-01-04 21:31:00.081757,2025-01-04 21:32:22.238425,0 days 00:01:22.156668,624,log2,17,5,1225,COMPLETE
404,0.9384512606018357,2025-01-04 21:31:05.027842,2025-01-04 21:33:00.647977,0 days 00:01:55.620135,617,log2,12,22,1742,COMPLETE
405,0.9384512606018357,2025-01-04 21:31:06.049887,2025-01-04 21:33:05.549132,0 days 00:01:59.499245,639,log2,11,20,1780,COMPLETE
406,0.9384512606018357,2025-01-04 21:31:07.369874,2025-01-04 21:33:02.288106,0 days 00:01:54.918232,631,log2,11,3,1753,COMPLETE
407,0.9384512606018357,2025-01-04 21:31:10.024888,2025-01-04 21:33:03.333483,0 days 00:01:53.308595,655,log2,11,2,1717,COMPLETE
408,0.9406442430579761,2025-01-04 21:31:10.375902,2025-01-04 21:32:31.501301,0 days 00:01:21.125399,616,log2,11,2,1175,COMPLETE
409,0.9384512606018357,2025-01-04 21:31:11.150362,2025-01-04 21:33:01.853324,0 days 00:01:50.702962,641,log2,11,2,1688,COMPLETE
410,0.9384512606018357,2025-01-04 21:31:13.982335,2025-01-04 21:32:36.576381,0 days 00:01:22.594046,632,log2,12,21,1220,COMPLETE
411,0.9384512606018357,2025-01-04 21:31:17.000607,2025-01-04 21:32:38.442566,0 days 00:01:21.441959,645,log2,11,23,1205,COMPLETE
412,0.9384512606018357,2025-01-04 21:31:23.291983,2025-01-04 21:33:19.385132,0 days 00:01:56.093149,702,log2,12,21,1727,COMPLETE
413,0.9384512606018357,2025-01-04 21:31:28.694294,2025-01-04 21:33:25.531003,0 days 00:01:56.836709,632,log2,10,21,1739,COMPLETE
414,0.6285726734053677,2025-01-04 21:31:33.518651,2025-01-04 21:32:12.442526,0 days 00:00:38.923875,628,log2,212,21,1772,COMPLETE
415,0.9384512606018357,2025-01-04 21:31:36.704432,2025-01-04 21:33:39.904672,0 days 00:02:03.200240,611,log2,11,21,1773,COMPLETE
416,0.9384512606018357,2025-01-04 21:31:50.822749,2025-01-04 21:33:46.172835,0 days 00:01:55.350086,696,log2,12,24,1660,COMPLETE
417,0.9384512606018357,2025-01-04 21:32:00.435884,2025-01-04 21:33:59.345669,0 days 00:01:58.909785,627,log2,10,23,1663,COMPLETE
418,0.9384367375392122,2025-01-04 21:32:06.513383,2025-01-04 21:33:20.767025,0 days 00:01:14.253642,608,log2,11,24,1128,COMPLETE
419,0.9384512606018357,2025-01-04 21:32:07.387907,2025-01-04 21:34:10.739155,0 days 00:02:03.351248,637,log2,10,21,1685,COMPLETE
420,0.9384512606018357,2025-01-04 21:32:08.144100,2025-01-04 21:33:22.782314,0 days 00:01:14.638214,623,log2,12,23,1134,COMPLETE
421,0.9362437550830719,2025-01-04 21:32:10.424366,2025-01-04 21:34:17.373663,0 days 00:02:06.949297,626,log2,11,25,1740,COMPLETE
422,0.9384512606018357,2025-01-04 21:32:12.448113,2025-01-04 21:34:10.793294,0 days 00:01:58.345181,624,log2,11,22,1645,COMPLETE
423,0.9384512606018357,2025-01-04 21:32:14.992323,2025-01-04 21:41:52.680089,0 days 00:09:37.687766,637,log2,11,28,8303,COMPLETE
424,0.9384512606018357,2025-01-04 21:32:17.711964,2025-01-04 21:34:23.731875,0 days 00:02:06.019911,627,log2,11,23,1692,COMPLETE
425,0.9362437550830719,2025-01-04 21:32:19.032961,2025-01-04 21:34:26.725727,0 days 00:02:07.692766,694,log2,11,24,1695,COMPLETE
426,0.9362437550830719,2025-01-04 21:32:20.328022,2025-01-04 21:34:25.603361,0 days 00:02:05.275339,699,log2,11,24,1697,COMPLETE
427,0.9384512606018357,2025-01-04 21:32:22.245721,2025-01-04 21:33:37.500724,0 days 00:01:15.255003,698,log2,10,26,1108,COMPLETE
428,0.9362437550830719,2025-01-04 21:32:24.395933,2025-01-04 21:34:45.664156,0 days 00:02:21.268223,694,log2,12,29,1835,COMPLETE
429,0.9384512606018357,2025-01-04 21:32:27.287229,2025-01-04 21:40:46.386105,0 days 00:08:19.098876,694,log2,11,25,6297,COMPLETE
430,0.9362437550830719,2025-01-04 21:32:29.231461,2025-01-04 21:34:45.928642,0 days 00:02:16.697181,697,log2,10,26,1769,COMPLETE
431,0.9384512606018357,2025-01-04 21:32:31.508316,2025-01-04 21:34:39.136757,0 days 00:02:07.628441,697,log2,10,25,1665,COMPLETE
432,0.9362437550830719,2025-01-04 21:32:36.581422,2025-01-04 21:34:56.677494,0 days 00:02:20.096072,696,log2,10,29,1750,COMPLETE
433,0.9362437550830719,2025-01-04 21:32:38.447739,2025-01-04 21:34:59.409897,0 days 00:02:20.962158,700,log2,9,26,1725,COMPLETE
434,0.9384512606018357,2025-01-04 21:33:00.656977,2025-01-04 21:34:19.286731,0 days 00:01:18.629754,696,log2,10,30,978,COMPLETE
435,0.9362437550830719,2025-01-04 21:33:01.857325,2025-01-04 21:34:15.090037,0 days 00:01:13.232712,699,log2,10,27,921,COMPLETE
436,0.9340362495643081,2025-01-04 21:33:02.298107,2025-01-04 21:34:15.298910,0 days 00:01:13.000803,696,log2,9,28,920,COMPLETE
437,0.9384512606018357,2025-01-04 21:33:03.339481,2025-01-04 21:40:32.032104,0 days 00:07:28.692623,695,log2,10,28,5467,COMPLETE
438,0.6285726734053677,2025-01-04 21:33:05.556132,2025-01-04 21:36:58.305681,0 days 00:03:52.749549,696,log2,419,29,8324,COMPLETE
439,0.9384512606018357,2025-01-04 21:33:19.392133,2025-01-04 21:34:54.912103,0 days 00:01:35.519970,693,log2,9,30,1068,COMPLETE
440,0.9362437550830719,2025-01-04 21:33:20.775023,2025-01-04 21:34:41.482793,0 days 00:01:20.707770,693,log2,9,28,930,COMPLETE
441,0.9340362495643081,2025-01-04 21:33:22.792314,2025-01-04 21:34:41.576086,0 days 00:01:18.783772,695,log2,9,29,896,COMPLETE
442,0.9362437550830719,2025-01-04 21:33:25.540040,2025-01-04 21:34:47.943847,0 days 00:01:22.403807,700,log2,9,27,911,COMPLETE
443,0.6285726734053677,2025-01-04 21:33:26.668357,2025-01-04 21:35:47.809599,0 days 00:02:21.141242,696,log2,497,28,4917,COMPLETE
444,0.6285726734053677,2025-01-04 21:33:37.505226,2025-01-04 21:36:46.841735,0 days 00:03:09.336509,696,log2,9,517,6351,COMPLETE
445,0.9384512606018357,2025-01-04 21:33:39.920184,2025-01-04 21:41:01.475002,0 days 00:07:21.554818,696,log2,8,28,5517,COMPLETE
446,0.9450447310328802,2025-01-04 21:33:46.178247,2025-01-04 21:42:23.566836,0 days 00:08:37.388589,696,log2,1,30,8231,COMPLETE
447,0.9384512606018357,2025-01-04 21:33:59.352720,2025-01-04 21:41:14.719678,0 days 00:07:15.366958,695,log2,9,29,5656,COMPLETE
448,0.9362437550830719,2025-01-04 21:34:10.746605,2025-01-04 21:35:44.535252,0 days 00:01:33.788647,694,log2,8,28,903,COMPLETE
449,0.9450447310328802,2025-01-04 21:34:10.804125,2025-01-04 21:35:53.849392,0 days 00:01:43.045267,692,log2,1,31,945,COMPLETE
450,0.9450447310328802,2025-01-04 21:34:15.095038,2025-01-04 21:41:03.763058,0 days 00:06:48.668020,690,log2,1,32,4977,COMPLETE
451,0.9450447310328802,2025-01-04 21:34:15.316188,2025-01-04 21:41:28.472787,0 days 00:07:13.156599,705,log2,1,32,5596,COMPLETE
452,0.9406442430579761,2025-01-04 21:34:17.385273,2025-01-04 21:41:52.437248,0 days 00:07:35.051975,712,log2,3,32,6521,COMPLETE
453,0.6285726734053677,2025-01-04 21:34:19.294734,2025-01-04 21:36:03.504066,0 days 00:01:44.209332,575,log2,1,945,3286,COMPLETE
454,0.9450447310328802,2025-01-04 21:34:23.739996,2025-01-04 21:41:36.762795,0 days 00:07:13.022799,722,log2,1,36,5754,COMPLETE
455,0.6285726734053677,2025-01-04 21:34:25.611371,2025-01-04 21:36:27.174919,0 days 00:02:01.563548,687,log2,2,772,3762,COMPLETE
456,0.6285726734053677,2025-01-04 21:34:26.735847,2025-01-04 21:37:06.987092,0 days 00:02:40.251245,713,log2,1,734,5164,COMPLETE
457,0.9428517485767398,2025-01-04 21:34:30.557729,2025-01-04 21:36:30.094834,0 days 00:01:59.537105,717,log2,1,37,1082,COMPLETE
458,0.9406442430579761,2025-01-04 21:34:39.145055,2025-01-04 21:41:11.961674,0 days 00:06:32.816619,719,log2,2,33,4962,COMPLETE
459,0.9384512606018357,2025-01-04 21:34:41.496063,2025-01-04 21:40:06.200909,0 days 00:05:24.704846,712,log2,2,39,3858,COMPLETE
460,0.9384512606018357,2025-01-04 21:34:41.586865,2025-01-04 21:41:07.667726,0 days 00:06:26.080861,717,log2,2,41,4937,COMPLETE
461,0.6285726734053677,2025-01-04 21:34:45.682730,2025-01-04 21:37:13.530197,0 days 00:02:27.847467,713,log2,436,45,4860,COMPLETE
462,0.6285726734053677,2025-01-04 21:34:45.933642,2025-01-04 21:36:46.513738,0 days 00:02:00.580096,724,log2,500,44,3764,COMPLETE
463,0.9428372255141165,2025-01-04 21:34:47.954179,2025-01-04 21:41:18.304029,0 days 00:06:30.349850,717,log2,1,43,4991,COMPLETE
464,0.9384512606018357,2025-01-04 21:34:54.926701,2025-01-04 21:41:20.074849,0 days 00:06:25.148148,715,log2,2,47,5039,COMPLETE
465,0.6285726734053677,2025-01-04 21:34:56.687095,2025-01-04 21:37:24.256063,0 days 00:02:27.568968,720,log2,331,538,4964,COMPLETE
466,0.6285726734053677,2025-01-04 21:34:59.430624,2025-01-04 21:37:34.385958,0 days 00:02:34.955334,719,log2,424,515,5221,COMPLETE
467,0.9406442430579761,2025-01-04 21:35:44.548896,2025-01-04 21:41:09.137928,0 days 00:05:24.589032,719,log2,1,50,4348,COMPLETE
468,0.6285726734053677,2025-01-04 21:35:47.816104,2025-01-04 21:38:29.144214,0 days 00:02:41.328110,715,log2,1,866,6293,COMPLETE
469,0.9406442430579761,2025-01-04 21:35:53.864905,2025-01-04 21:42:13.066015,0 days 00:06:19.201110,718,log2,1,51,6463,COMPLETE
470,0.9406442430579761,2025-01-04 21:36:03.519899,2025-01-04 21:37:46.067101,0 days 00:01:42.547202,717,log2,2,42,1112,COMPLETE
471,0.9384512606018357,2025-01-04 21:36:27.189286,2025-01-04 21:42:25.052727,0 days 00:05:57.863441,717,log2,2,46,6930,COMPLETE
472,0.9406442430579761,2025-01-04 21:36:30.099982,2025-01-04 21:38:02.097037,0 days 00:01:31.997055,714,log2,3,50,1091,COMPLETE
473,0.9406442430579761,2025-01-04 21:36:46.521164,2025-01-04 21:38:14.299268,0 days 00:01:27.778104,720,log2,2,52,1080,COMPLETE
474,0.9384512606018357,2025-01-04 21:36:46.847746,2025-01-04 21:41:58.181323,0 days 00:05:11.333577,717,log2,2,48,5281,COMPLETE
